Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,573316,2912,896,341,4962,967,430,1628,0,20118,22022,980,91,2489,2671,153,552,1848,4376,65,941,364,4248,402,7068,1820,272,389,132,76,1285,451,3521,2848,0,2587,1204,31,1675,647,0,1972,0,8708,6143,917,0,2944,1750,119,1399,91
Alaska,1392,110205,1904,332,4951,1284,26,113,168,1350,891,1421,1170,457,272,233,36,368,575,346,106,293,1152,600,138,1006,365,208,305,0,0,851,417,1153,152,575,1506,3075,1526,0,58,1379,288,187,1753,532,0,862,3805,34,397,195
Arizona,1028,2983,948400,1289,51020,9845,1205,513,235,10266,3413,2196,3098,7106,4371,2417,882,2490,1586,951,2395,2905,10781,9644,690,4910,2440,2674,9056,506,2033,5146,7506,5491,1387,8274,1920,7820,5664,123,1165,1347,1085,2299,12153,4853,218,3361,11891,356,2792,1701
Arkansas,1009,95,2872,414632,6451,989,0,0,0,3948,1085,381,444,4213,628,1063,1625,264,2696,76,485,272,2847,2244,4031,6081,305,938,581,26,47,822,185,1192,38,724,6698,982,554,229,0,1174,56,5195,19551,52,0,2575,970,458,1468,154
California,2868,5905,37873,4504,4834704,19002,4551,399,2410,23036,8301,11054,6333,21611,4537,2880,4331,2753,4792,2086,8120,13523,10357,5000,2529,8917,3292,2402,31237,1192,7454,5753,28535,11247,718,8312,3059,20369,11697,1487,1223,2876,715,5670,42142,9977,892,13612,29680,1372,4705,1585
Colorado,1243,3330,12096,966,28890,730806,833,195,61,10469,4467,1861,2090,5140,3181,2420,6085,1418,2068,597,1039,2460,3498,4067,729,2967,2405,3034,4453,525,2966,8457,3298,4566,1438,3928,3929,4028,3788,366,398,2930,1230,1665,18276,5002,322,3404,4926,455,3492,5234
Connecticut,139,1870,977,0,2970,1133,329373,47,267,4573,2852,84,154,1296,220,353,63,379,357,1410,915,11231,2062,797,0,307,0,15,141,1431,4669,141,17271,1679,0,1269,58,58,3036,3690,2758,978,61,375,2261,61,1557,3606,1127,85,1342,411
Delaware,89,235,180,0,1294,399,500,81102,168,2029,1018,0,0,1287,547,0,73,0,472,58,8322,1574,0,51,56,260,0,0,135,304,3323,175,2966,1200,758,86,38,0,8892,406,0,571,0,170,520,0,0,2983,550,92,144,109
District of Columbia ,103,230,509,35,1688,360,919,981,63313,1650,709,355,79,877,137,139,364,0,484,0,12275,1523,895,300,91,179,65,0,0,230,1160,51,3974,1370,0,966,109,412,1880,165,336,608,0,35,711,0,0,6828,296,424,197,0
Florida,13116,10734,4501,4368,18241,8511,11058,1680,2100,2332650,47089,1763,1911,14902,13681,2431,3928,5697,6223,2845,10660,15203,19062,4374,3751,4673,538,612,2938,2213,26070,2806,57995,22320,227,23501,3548,3286,21401,15862,2371,7876,1931,10889,25181,1185,2283,23510,6198,2179,5633,495
Georgia,20484,2734,4337,2193,14254,2724,2106,438,2248,49921,1321837,1167,1590,10721,3932,2108,1486,3726,7971,107,5157,5234,7049,1481,4020,3889,234,915,806,808,8398,827,19851,16136,301,8167,2269,1019,7752,1465,340,14310,280,12138,17148,682,341,8531,2626,1460,2623,550
Hawaii,502,1050,2669,1322,12820,1273,123,0,0,2761,1639,129678,564,123,217,52,397,339,143,370,1811,283,520,949,274,389,151,0,1338,428,762,165,933,2346,0,571,1248,388,1602,209,562,433,137,104,3571,442,128,4045,4254,42,748,503
Idaho,80,1390,2109,751,10492,746,233,0,0,1049,1428,60,222369,1691,219,425,578,62,314,0,216,424,779,1554,19,140,2025,82,2390,26,0,904,814,507,611,288,393,7300,288,163,0,0,408,129,1125,10142,288,325,9480,0,547,1960
Illinois,2029,1694,4746,2131,20722,4755,1404,218,1134,14444,6446,2682,468,1444410,22369,12054,3067,3735,1183,958,2067,3127,13892,3956,2844,14256,184,1031,1001,125,2738,593,6620,3611,536,7379,1937,1171,3511,2478,283,1205,138,4054,11031,1376,63,6530,3383,578,16722,67
Indiana,713,509,4590,935,7951,2774,967,0,285,9183,4292,361,373,34358,832734,735,733,11707,1566,146,2614,1080,13820,903,1519,4007,280,625,1347,617,1309,817,3395,2443,182,15522,489,1972,4779,190,71,2910,265,3236,4633,599,101,2626,1644,1255,3637,0
Iowa,219,578,1749,3309,3019,1448,565,171,60,2487,1207,101,303,14874,1662,402934,2386,516,1327,19,117,406,1472,4976,217,4620,387,8085,419,0,292,244,1156,1214,927,430,1133,1040,430,342,0,494,1817,1483,6148,1140,0,1075,533,0,2816,235
Kansas,1704,283,2831,1873,6118,6726,372,0,0,3641,1369,489,192,3411,1380,2796,377844,2353,923,593,244,882,1624,822,496,21252,176,4961,928,0,915,1416,809,1772,74,1134,7020,271,463,0,0,1341,419,1828,7399,792,190,2267,1966,205,1210,380
Kentucky,1312,591,294,879,3605,872,290,250,108,11028,3634,838,78,5355,10312,307,2836,525320,680,432,2143,695,4866,563,817,2599,59,153,521,202,700,297,2922,2004,0,16644,693,938,872,280,0,1620,79,10709,4796,1083,794,2227,1766,1506,1236,250
Louisiana,2178,435,1469,3832,6616,2276,577,571,452,5443,5007,282,85,2301,845,833,1950,884,544587,58,1370,342,1868,197,9782,1409,574,125,1558,0,1853,93,1734,3217,0,1853,2120,654,751,670,233,2132,0,2488,34597,36,101,1597,873,214,1560,1307
Maine,446,417,476,0,2115,1000,2067,0,203,3273,544,0,0,394,127,92,251,313,90,152539,435,3466,340,431,0,0,0,53,120,6443,519,239,1741,1273,58,505,661,113,805,836,313,89,56,72,1070,264,1682,989,76,0,0,0
Maryland,1868,1897,2399,601,6281,1221,2259,6285,23530,8690,4946,82,76,2010,1079,676,695,532,1025,1256,543559,3320,2021,673,559,622,75,316,246,43,5656,478,10735,6562,0,2473,728,253,14072,1784,595,2675,219,4034,5967,1383,424,20927,979,4487,931,0
Massachusetts,870,802,824,350,13614,1993,11156,248,1207,14665,2708,320,0,5173,1415,339,238,308,673,3534,4549,674326,1458,1855,244,935,45,86,137,11816,8051,130,19088,4339,0,1413,509,501,4800,6122,9874,1353,0,1572,4677,1038,2174,3383,1598,458,806,0
Michigan,2126,2281,4058,1329,5387,2039,2119,54,815,14160,2061,672,671,10546,6365,899,592,1227,1843,354,2986,2373,1299718,2057,693,1450,229,299,998,57,1228,506,4945,5273,68,12330,2348,240,4077,1952,0,2079,0,3280,6168,1298,193,2793,695,1056,6283,140
Minnesota,265,562,2382,784,5868,2893,819,0,659,4053,1023,274,700,6715,1484,4776,2024,438,366,264,429,498,3502,604184,99,2514,669,1423,778,112,573,222,2536,1295,6374,1754,479,810,1377,351,307,475,4972,1240,4790,1646,13,2138,2602,234,17108,188
Mississippi,5284,294,676,2434,2691,359,104,6,0,4306,3837,781,0,3985,1112,0,222,1122,10296,0,0,362,2510,949,362397,1577,472,0,418,60,115,145,778,944,0,1619,796,171,1320,101,237,480,864,10273,5024,1409,0,3321,459,379,757,0
Missouri,1419,922,2865,6799,8248,4457,134,1000,94,7140,5278,869,356,20865,3117,5229,18794,1425,1584,292,1052,694,5135,2632,1602,814514,336,1991,604,179,658,153,2565,5213,1575,2499,5271,809,1302,135,101,907,54,3307,15983,1095,622,2080,2368,646,1992,1382
Montana,80,893,1986,1175,5689,2044,127,0,36,392,782,0,3190,861,165,592,190,495,171,211,201,564,1307,859,127,1120,119342,323,1286,0,387,106,265,843,1248,429,164,2102,213,75,0,241,580,325,1578,556,0,640,6571,1157,1235,813
Nebraska,260,747,2197,53,4552,3639,0,43,286,2380,770,312,77,1826,393,5981,3463,236,180,53,376,152,558,1932,271,3698,123,239842,93,60,760,180,924,922,500,1166,1386,346,297,207,444,427,1016,763,2981,264,0,481,820,147,1110,456
Nevada,1601,749,6368,267,42732,1614,514,72,120,5117,2340,3098,1427,4630,1469,255,593,419,1428,0,1045,685,3513,997,303,1119,703,594,400779,169,962,750,4150,890,202,5032,1509,2709,781,148,0,64,486,784,5854,4579,54,1667,4024,73,1159,229
New Hampshire,0,750,1786,0,1534,279,2830,72,310,4464,695,0,0,296,227,0,0,230,0,3633,1018,14669,429,171,0,99,0,217,279,120242,784,668,1740,773,0,1048,0,468,550,0,553,574,0,116,412,200,3623,491,0,0,257,0
New Jersey,1004,2066,3066,263,4819,624,3947,1482,337,9594,3905,653,53,3357,553,195,1053,680,426,318,4959,4772,2001,1489,102,1173,0,0,1100,548,699979,219,48252,2362,0,1769,0,284,24752,3518,2809,811,0,682,2793,258,360,3354,706,0,823,107
New Mexico,210,785,8688,498,9326,6102,81,76,316,3544,1233,587,197,1778,1105,444,806,155,1163,42,779,989,2048,548,38,118,43,1225,2184,0,1843,248312,760,190,52,405,1159,830,1077,290,0,830,36,410,11751,256,0,1551,1371,0,428,686
New York,1202,2883,2541,146,18337,3782,15404,800,4889,33961,6569,2217,364,7613,2155,271,1594,863,1022,2133,7070,14849,5163,2539,151,3713,150,561,966,2081,34407,1496,1761130,10052,327,5986,1905,1365,20695,5213,4052,3741,46,2227,9936,1687,3345,9208,2858,945,827,284
North Carolina,4978,1862,2987,1310,16493,6627,4177,2205,1958,42729,18965,1139,404,3911,4584,2499,1258,2342,3069,744,13657,7224,7615,1002,1313,4002,707,875,2375,1136,10416,797,33213,1184027,55,12145,2593,999,11138,850,1335,25135,413,9734,12799,749,381,25142,6311,4431,936,147
North Dakota,0,0,183,157,990,297,103,0,0,534,0,354,222,416,42,196,160,0,110,0,45,389,61,10598,183,554,3212,311,58,0,0,144,23,639,76714,344,466,957,145,0,0,31,1433,35,1282,195,10,33,1024,49,342,419
Ohio,2564,2788,3142,416,6921,3169,2645,520,770,15794,7109,495,333,9436,10863,1730,1311,13225,1104,489,4354,2969,15828,2255,991,3372,68,1239,616,553,2574,1465,7304,6412,649,1492145,1693,1330,11099,1127,239,4235,314,4989,4815,727,171,5764,4055,5581,1239,126
Oklahoma,1732,1485,3632,7784,8167,3887,400,0,0,5414,3316,406,198,2700,743,2256,6762,806,2478,431,480,235,3102,1024,1078,6025,691,917,1120,1369,1123,2721,2279,2288,53,2285,565735,704,844,0,301,915,18,1566,32401,360,0,1364,2236,737,446,855
Oregon,707,3003,3344,452,33497,3050,49,209,177,4578,592,3045,9155,2142,619,898,574,80,413,310,325,1485,723,478,219,1136,2582,614,3819,263,311,1297,2502,589,426,1930,913,530199,2125,51,176,1239,1019,809,3502,1740,0,1997,18315,104,1660,632
Pennsylvania,971,1426,2264,308,9368,1884,5283,8293,1154,18380,4522,204,148,7486,2387,359,874,1046,644,925,19850,5175,4224,1929,899,2248,688,202,1896,1181,39442,907,41006,5828,114,10598,1103,740,1262078,6343,377,2936,322,2510,5187,1031,973,11481,1625,4188,1071,109
Puerto Rico,200,0,0,0,779,257,2463,0,72,8787,572,0,0,932,91,60,305,121,115,0,79,2138,36,0,0,0,0,0,573,353,3280,0,7097,286,0,150,0,95,2088,279867,172,0,0,182,1057,0,0,407,354,0,633,0
Rhode Island,0,177,139,233,1478,322,2630,66,0,1355,721,387,0,108,0,90,0,0,0,603,676,6190,905,637,142,0,0,384,0,292,1849,576,2321,1036,0,264,64,73,1012,1797,95449,74,41,529,202,194,176,1333,285,322,63,179
South Carolina,1837,679,759,860,4143,1044,1674,528,1056,16638,16349,688,188,3424,1888,737,583,2069,965,280,5044,3294,4767,354,1425,742,190,467,1166,1080,5044,380,8223,26624,0,5606,936,517,6538,687,625,498159,43,3708,4405,119,884,9358,1349,411,920,0
South Dakota,267,66,1046,22,1051,2259,108,0,339,228,86,0,185,607,300,1686,206,86,31,0,129,27,806,4345,225,391,161,2561,65,0,65,315,298,307,1174,293,79,224,618,0,0,51,94482,450,931,137,0,224,742,51,583,185
Tennessee,6780,1970,1353,5096,9008,2240,1000,188,66,23598,15275,0,187,7570,4986,802,1220,11463,4361,420,1861,1108,7563,546,8905,3107,737,784,1086,998,1942,945,3910,9274,47,6831,1544,890,3798,707,451,3357,572,807705,7426,538,362,7424,822,2457,2779,261
Texas,6086,7173,16278,13341,73993,17623,3337,740,1237,40763,18304,5248,3164,18232,7033,4723,9848,4356,32621,498,5775,4183,11169,8613,8451,16626,1628,4437,7066,476,10379,19679,17497,15679,1728,13381,27572,5732,8785,4716,525,6255,1211,13051,3648004,4701,132,15143,9796,1895,7548,3167
Utah,695,2160,9075,450,18607,5400,598,0,71,3373,1218,713,6106,1631,856,134,277,349,735,106,719,961,1065,578,144,1170,627,1715,7998,395,121,912,1645,676,727,2805,792,5487,682,198,0,444,169,510,7026,365169,123,1501,2930,70,2574,4524
Vermont,0,252,200,0,1062,723,1041,0,0,1025,0,18,36,151,290,310,0,104,19,1985,233,1588,467,204,54,370,94,0,399,2727,628,13,4480,292,0,105,140,183,643,0,201,14,0,361,392,141,58790,775,176,51,0,27
Virginia,4171,866,4286,1030,14469,3023,4955,1096,8323,23316,9719,2737,1446,10324,2445,229,1054,2100,1551,1186,26870,4532,5528,1641,1549,1806,733,1278,2239,508,9498,655,15761,27224,529,5366,417,876,13283,174,587,6695,57,7969,11813,2480,650,925353,5253,8624,2131,375
Washington,1845,5334,10009,830,41082,7610,960,0,481,8070,4290,4153,9452,3254,1205,1706,2520,3017,1337,361,1096,2678,3198,2468,495,3775,4627,1567,3375,15,1725,1153,5807,4643,446,2480,1604,25238,2910,490,256,1698,773,2561,11149,2679,521,5699,895624,543,1895,262
West Virginia,282,812,59,0,968,545,49,356,762,1397,952,0,0,126,784,0,0,2856,381,0,7260,615,447,0,86,214,0,209,55,0,600,363,938,4833,0,10695,51,22,5959,0,72,1207,0,777,618,86,0,8166,258,170344,51,33
Wisconsin,432,1645,1328,1373,4618,2728,136,0,0,4177,1668,577,794,26280,1503,3024,382,809,971,178,1294,719,4669,18926,497,3979,1527,323,483,0,365,439,2144,822,376,2225,358,667,1590,1218,89,755,1353,1483,3854,303,26,1381,1657,217,682608,47
Wyoming,459,72,724,557,1709,5140,35,0,0,1130,479,252,964,759,33,707,540,98,151,0,210,0,789,346,429,296,1348,512,1215,0,32,66,131,242,267,834,171,601,398,0,0,0,731,177,1054,2957,0,0,526,0,179,65556
