Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,576.0,1022.0,495.0,6611.0,2177.0,566.0,0.0,97.0,16631.0,23008.0,1695.0,212.0,3707.0,1445.0,671.0,1261.0,1590.0,1508.0,151.0,1903.0,330.0,2195.0,122.0,7602.0,2746.0,294.0,33.0,254.0,0.0,812.0,826.0,3047.0,6419.0,0.0,2694.0,1169.0,498.0,1008.0,0.0,2952.0,52.0,9960.0,7689.0,525.0,0.0,3535.0,677.0,42.0,874.0,539.0
Alaska,423.0,,1176.0,65.0,3593.0,1401.0,0.0,79.0,0.0,1100.0,2208.0,561.0,361.0,715.0,126.0,142.0,1831.0,703.0,273.0,147.0,0.0,44.0,133.0,236.0,92.0,281.0,832.0,0.0,534.0,32.0,270.0,198.0,910.0,714.0,58.0,100.0,806.0,1301.0,574.0,0.0,281.0,370.0,243.0,1675.0,725.0,86.0,462.0,4888.0,0.0,260.0,291.0
Arizona,894.0,1946.0,,1205.0,64756.0,11895.0,1596.0,420.0,276.0,9306.0,4242.0,2339.0,2775.0,13387.0,5443.0,2649.0,3383.0,1105.0,679.0,355.0,1467.0,4028.0,6525.0,5461.0,568.0,3708.0,2414.0,1312.0,7350.0,224.0,3971.0,9453.0,3029.0,4605.0,1662.0,3839.0,7494.0,9279.0,4651.0,51.0,1768.0,2408.0,1834.0,14923.0,9979.0,817.0,8809.0,13897.0,1419.0,6736.0,925.0
Arkansas,2057.0,103.0,836.0,,4026.0,3459.0,186.0,0.0,69.0,1351.0,2683.0,241.0,0.0,2594.0,335.0,1115.0,979.0,1356.0,3530.0,178.0,319.0,302.0,928.0,449.0,3699.0,6911.0,36.0,1411.0,1194.0,0.0,250.0,225.0,590.0,939.0,39.0,192.0,5773.0,389.0,1146.0,0.0,70.0,0.0,2635.0,13487.0,619.0,0.0,1333.0,2257.0,75.0,539.0,178.0
California,3045.0,4206.0,33757.0,4282.0,,22540.0,2932.0,1372.0,6319.0,25354.0,14663.0,14239.0,3598.0,21539.0,7073.0,3826.0,3293.0,4206.0,4933.0,2513.0,10637.0,14062.0,11442.0,10897.0,3174.0,7580.0,1272.0,1876.0,24656.0,889.0,11988.0,8087.0,40877.0,14268.0,2664.0,9652.0,6023.0,18919.0,13090.0,2265.0,5137.0,1333.0,6158.0,39109.0,11114.0,400.0,14348.0,27973.0,1150.0,7354.0,2674.0
Colorado,2328.0,1698.0,13015.0,808.0,26909.0,,2882.0,0.0,1360.0,13546.0,6128.0,2795.0,1565.0,11369.0,2672.0,3243.0,4634.0,1736.0,3361.0,390.0,3467.0,2196.0,4285.0,3725.0,1319.0,6246.0,1334.0,3050.0,4366.0,1360.0,2731.0,5073.0,8612.0,6059.0,1801.0,3674.0,3828.0,3473.0,4586.0,63.0,1945.0,1735.0,4035.0,20725.0,3642.0,647.0,7148.0,4487.0,309.0,3243.0,3657.0
Connecticut,1102.0,331.0,309.0,960.0,3979.0,562.0,,0.0,433.0,4629.0,1129.0,449.0,0.0,1733.0,488.0,162.0,329.0,43.0,330.0,941.0,1716.0,8519.0,614.0,780.0,0.0,248.0,0.0,0.0,34.0,750.0,4496.0,0.0,22160.0,1651.0,64.0,1124.0,45.0,62.0,3427.0,3255.0,1054.0,0.0,394.0,2679.0,0.0,1131.0,2320.0,631.0,286.0,237.0,0.0
Delaware,148.0,80.0,22.0,0.0,598.0,106.0,1263.0,,113.0,708.0,293.0,68.0,30.0,953.0,26.0,0.0,0.0,36.0,0.0,116.0,6985.0,509.0,11.0,0.0,105.0,230.0,94.0,0.0,27.0,0.0,5656.0,0.0,2218.0,338.0,0.0,272.0,0.0,0.0,10139.0,0.0,212.0,23.0,34.0,515.0,0.0,112.0,1021.0,181.0,158.0,0.0,0.0
District of Columbia ,140.0,77.0,744.0,0.0,3908.0,531.0,1225.0,278.0,,2717.0,1105.0,103.0,0.0,2418.0,957.0,218.0,0.0,233.0,197.0,118.0,12778.0,1974.0,922.0,542.0,224.0,566.0,17.0,190.0,356.0,168.0,1494.0,1.0,4762.0,1367.0,83.0,659.0,122.0,125.0,2468.0,268.0,382.0,0.0,452.0,2213.0,249.0,0.0,9847.0,418.0,296.0,242.0,0.0
Florida,11353.0,1852.0,10312.0,4136.0,28420.0,9880.0,15285.0,3143.0,1752.0,,39578.0,1326.0,885.0,23319.0,14370.0,6630.0,2392.0,8588.0,5375.0,2859.0,17648.0,19882.0,19530.0,6778.0,6621.0,11656.0,677.0,1870.0,4273.0,5292.0,33966.0,3091.0,60472.0,28726.0,1127.0,29655.0,3124.0,1258.0,30258.0,4894.0,15904.0,535.0,18647.0,31153.0,3531.0,1627.0,29485.0,6152.0,3979.0,11298.0,454.0
Georgia,18276.0,1287.0,3901.0,2388.0,18948.0,3337.0,6077.0,1294.0,1473.0,44846.0,,768.0,935.0,7630.0,1872.0,2123.0,2003.0,4049.0,6951.0,815.0,6600.0,5727.0,4744.0,3166.0,5796.0,3775.0,294.0,566.0,900.0,577.0,5201.0,1188.0,24772.0,17750.0,436.0,11319.0,1932.0,2212.0,8370.0,399.0,11199.0,336.0,20161.0,19994.0,923.0,730.0,11597.0,3270.0,838.0,1273.0,22.0
Hawaii,1182.0,672.0,1852.0,155.0,13047.0,1643.0,269.0,54.0,458.0,2113.0,2487.0,,94.0,2301.0,930.0,50.0,706.0,265.0,305.0,0.0,1098.0,487.0,379.0,464.0,48.0,204.0,282.0,190.0,1491.0,0.0,723.0,841.0,1654.0,2395.0,0.0,602.0,0.0,883.0,836.0,340.0,2528.0,0.0,1582.0,4485.0,589.0,83.0,2033.0,4355.0,20.0,54.0,0.0
Idaho,0.0,1638.0,4322.0,341.0,17019.0,3072.0,49.0,0.0,0.0,1356.0,458.0,1113.0,,757.0,158.0,480.0,133.0,188.0,379.0,200.0,281.0,423.0,382.0,426.0,0.0,390.0,1425.0,65.0,3300.0,46.0,284.0,1508.0,671.0,2116.0,708.0,381.0,178.0,2836.0,1062.0,0.0,93.0,142.0,60.0,2606.0,7405.0,0.0,401.0,9303.0,122.0,249.0,3030.0
Illinois,2022.0,578.0,5251.0,1288.0,15163.0,3257.0,1297.0,205.0,1083.0,13021.0,6739.0,627.0,724.0,,15203.0,9541.0,2683.0,3791.0,1219.0,180.0,2140.0,3651.0,8176.0,3566.0,1608.0,16251.0,530.0,1214.0,1476.0,741.0,2733.0,309.0,7566.0,4379.0,372.0,7260.0,732.0,1025.0,3809.0,358.0,954.0,447.0,6928.0,13290.0,1211.0,919.0,7822.0,3628.0,880.0,15595.0,271.0
Indiana,1133.0,495.0,1185.0,1308.0,6970.0,1513.0,884.0,401.0,64.0,10994.0,4503.0,1426.0,217.0,29883.0,,1496.0,1520.0,9978.0,584.0,712.0,1521.0,926.0,8950.0,1989.0,1568.0,2363.0,0.0,108.0,480.0,575.0,4923.0,645.0,2583.0,4496.0,498.0,13303.0,645.0,1386.0,2165.0,0.0,1630.0,0.0,2979.0,9403.0,254.0,119.0,3188.0,1203.0,156.0,2460.0,0.0
Iowa,395.0,662.0,1556.0,315.0,2380.0,3478.0,60.0,0.0,14.0,1749.0,866.0,30.0,566.0,14948.0,1876.0,,1871.0,1255.0,573.0,410.0,538.0,170.0,944.0,7633.0,594.0,6509.0,301.0,6812.0,702.0,77.0,1028.0,412.0,807.0,1755.0,1008.0,1261.0,754.0,16.0,710.0,25.0,138.0,1192.0,1256.0,3437.0,496.0,137.0,663.0,1662.0,203.0,3848.0,171.0
Kansas,879.0,291.0,2664.0,1526.0,4526.0,5355.0,0.0,0.0,94.0,2944.0,2403.0,245.0,97.0,2545.0,735.0,2467.0,,525.0,402.0,0.0,672.0,1237.0,152.0,1192.0,251.0,22577.0,683.0,2821.0,247.0,0.0,900.0,401.0,2807.0,1625.0,373.0,735.0,5607.0,570.0,465.0,384.0,176.0,584.0,1754.0,10102.0,845.0,71.0,1812.0,1885.0,0.0,125.0,79.0
Kentucky,2272.0,361.0,1177.0,756.0,6594.0,2721.0,329.0,0.0,0.0,9255.0,4845.0,103.0,0.0,6394.0,10990.0,709.0,1503.0,,1358.0,411.0,1087.0,530.0,3005.0,947.0,1710.0,2379.0,30.0,103.0,695.0,679.0,572.0,101.0,3404.0,3557.0,282.0,13426.0,600.0,285.0,2084.0,0.0,1375.0,318.0,12132.0,5585.0,874.0,0.0,3145.0,313.0,2929.0,1313.0,0.0
Louisiana,5658.0,359.0,857.0,1471.0,4654.0,2529.0,192.0,0.0,54.0,3597.0,3280.0,292.0,464.0,2556.0,270.0,1315.0,1497.0,276.0,,35.0,248.0,1024.0,1026.0,415.0,8208.0,1005.0,606.0,145.0,112.0,0.0,552.0,158.0,1882.0,4565.0,0.0,1373.0,1807.0,607.0,965.0,170.0,992.0,118.0,2184.0,21925.0,280.0,122.0,2548.0,1516.0,586.0,714.0,162.0
Maine,471.0,7.0,257.0,0.0,1315.0,407.0,1664.0,26.0,162.0,2967.0,248.0,579.0,13.0,448.0,114.0,473.0,41.0,429.0,118.0,,332.0,7799.0,256.0,224.0,0.0,1163.0,26.0,0.0,0.0,5649.0,1888.0,160.0,1896.0,1042.0,429.0,236.0,143.0,188.0,986.0,1150.0,345.0,0.0,461.0,610.0,589.0,661.0,1276.0,907.0,107.0,328.0,0.0
Maryland,1241.0,53.0,940.0,349.0,6348.0,2210.0,707.0,5674.0,19754.0,10887.0,6942.0,1595.0,108.0,1193.0,468.0,326.0,655.0,701.0,406.0,281.0,,2559.0,2149.0,661.0,1246.0,515.0,65.0,427.0,512.0,61.0,7411.0,1416.0,11622.0,7845.0,62.0,4295.0,382.0,522.0,13462.0,928.0,1651.0,198.0,2288.0,5229.0,387.0,347.0,23926.0,2176.0,4744.0,723.0,0.0
Massachusetts,681.0,115.0,2511.0,388.0,12831.0,3046.0,11229.0,308.0,1398.0,11295.0,2517.0,457.0,96.0,6227.0,1282.0,378.0,1021.0,689.0,890.0,3360.0,2836.0,,1629.0,561.0,50.0,1259.0,0.0,598.0,355.0,10579.0,5980.0,799.0,21876.0,3661.0,0.0,2259.0,1180.0,699.0,7188.0,9776.0,1720.0,137.0,780.0,3446.0,524.0,3226.0,4166.0,1463.0,292.0,1484.0,166.0
Michigan,2287.0,285.0,4061.0,806.0,8001.0,2120.0,912.0,286.0,642.0,14302.0,6090.0,410.0,2441.0,13818.0,10775.0,613.0,669.0,2351.0,643.0,444.0,2091.0,2604.0,,2661.0,2885.0,3217.0,1156.0,963.0,1742.0,384.0,2295.0,85.0,6627.0,5848.0,120.0,16222.0,984.0,743.0,3144.0,447.0,2129.0,80.0,5154.0,10484.0,718.0,424.0,1989.0,1849.0,435.0,5058.0,1380.0
Minnesota,115.0,334.0,4475.0,484.0,6232.0,4691.0,407.0,65.0,239.0,2999.0,2468.0,393.0,407.0,9753.0,1769.0,5329.0,2295.0,491.0,488.0,115.0,730.0,1141.0,2240.0,,137.0,2321.0,541.0,1973.0,561.0,175.0,417.0,255.0,1626.0,1307.0,10745.0,2570.0,1542.0,1060.0,1180.0,0.0,403.0,5127.0,1393.0,4849.0,1828.0,40.0,1071.0,2666.0,331.0,18683.0,846.0
Mississippi,5125.0,0.0,544.0,3244.0,4317.0,441.0,101.0,0.0,182.0,4046.0,2150.0,389.0,908.0,3383.0,814.0,163.0,203.0,1623.0,5777.0,0.0,519.0,58.0,1298.0,81.0,,1034.0,29.0,721.0,465.0,82.0,199.0,155.0,570.0,2485.0,24.0,1204.0,765.0,617.0,737.0,12.0,1129.0,0.0,10017.0,4046.0,48.0,0.0,1230.0,1989.0,260.0,1455.0,0.0
Missouri,2283.0,1288.0,2958.0,8523.0,7037.0,4960.0,445.0,651.0,266.0,5881.0,3902.0,508.0,535.0,25906.0,2622.0,5799.0,19812.0,2895.0,2873.0,221.0,1244.0,688.0,4371.0,1893.0,2988.0,,0.0,2764.0,1194.0,142.0,630.0,1045.0,2519.0,1802.0,815.0,3333.0,4221.0,1734.0,3053.0,117.0,2490.0,838.0,4026.0,11488.0,1272.0,61.0,2918.0,2916.0,514.0,1828.0,540.0
Montana,296.0,608.0,1416.0,340.0,5173.0,2521.0,69.0,0.0,0.0,714.0,390.0,18.0,1744.0,1171.0,284.0,114.0,240.0,43.0,285.0,11.0,750.0,77.0,234.0,2089.0,359.0,158.0,,115.0,979.0,21.0,0.0,694.0,142.0,350.0,1378.0,174.0,919.0,1636.0,428.0,0.0,288.0,160.0,138.0,2177.0,1343.0,114.0,0.0,5132.0,110.0,939.0,1434.0
Nebraska,227.0,549.0,1264.0,568.0,3661.0,5557.0,1269.0,46.0,70.0,2364.0,861.0,155.0,442.0,2415.0,381.0,5863.0,3393.0,182.0,126.0,22.0,669.0,143.0,660.0,1656.0,455.0,2193.0,164.0,,589.0,255.0,852.0,386.0,585.0,466.0,676.0,297.0,751.0,314.0,483.0,988.0,502.0,1617.0,270.0,2702.0,1064.0,0.0,935.0,812.0,45.0,223.0,1281.0
Nevada,394.0,562.0,5741.0,534.0,45482.0,3293.0,499.0,97.0,0.0,4997.0,2474.0,6067.0,1013.0,2963.0,835.0,737.0,727.0,1268.0,714.0,493.0,258.0,391.0,2272.0,1320.0,138.0,1151.0,664.0,492.0,,221.0,2467.0,1406.0,4742.0,1268.0,333.0,1074.0,221.0,906.0,1016.0,218.0,1310.0,777.0,1189.0,3343.0,3260.0,37.0,1307.0,4639.0,14.0,889.0,1686.0
New Hampshire,174.0,740.0,678.0,0.0,953.0,1008.0,2435.0,0.0,83.0,2128.0,1174.0,360.0,125.0,144.0,197.0,237.0,317.0,0.0,29.0,3353.0,647.0,21063.0,409.0,247.0,368.0,364.0,32.0,90.0,398.0,,396.0,0.0,3869.0,1113.0,0.0,416.0,67.0,0.0,1799.0,932.0,0.0,0.0,95.0,1527.0,613.0,2789.0,696.0,11.0,297.0,84.0,0.0
New Jersey,48.0,299.0,1013.0,137.0,8239.0,1364.0,3884.0,1809.0,736.0,10399.0,2985.0,551.0,0.0,1633.0,1147.0,110.0,560.0,138.0,567.0,483.0,5168.0,3458.0,1445.0,508.0,267.0,1410.0,479.0,290.0,365.0,112.0,,141.0,48558.0,3436.0,263.0,2166.0,285.0,192.0,23566.0,129.0,1520.0,318.0,1608.0,5554.0,104.0,360.0,5341.0,534.0,350.0,330.0,0.0
New Mexico,732.0,749.0,7350.0,552.0,4939.0,4293.0,305.0,308.0,105.0,2411.0,894.0,429.0,382.0,452.0,324.0,105.0,292.0,338.0,469.0,353.0,1546.0,482.0,1390.0,811.0,0.0,1700.0,170.0,0.0,1319.0,629.0,397.0,,1638.0,987.0,0.0,869.0,1022.0,884.0,1748.0,3.0,585.0,10.0,1723.0,17155.0,625.0,0.0,801.0,1843.0,153.0,332.0,198.0
New York,402.0,421.0,4971.0,755.0,22626.0,3463.0,16339.0,1069.0,3042.0,23515.0,5180.0,1534.0,573.0,8949.0,2462.0,375.0,479.0,1688.0,2095.0,1596.0,8332.0,17877.0,3551.0,1309.0,802.0,2918.0,132.0,181.0,435.0,2044.0,33747.0,665.0,,9471.0,306.0,6648.0,1396.0,2506.0,22933.0,1006.0,4716.0,159.0,3661.0,9368.0,1068.0,3895.0,10761.0,4929.0,1503.0,2787.0,83.0
North Carolina,3491.0,2059.0,3539.0,1135.0,17653.0,4285.0,7425.0,955.0,1737.0,32234.0,24882.0,1365.0,1267.0,8568.0,4211.0,480.0,2245.0,3409.0,2562.0,1324.0,9671.0,5116.0,6818.0,1782.0,1509.0,4563.0,139.0,164.0,2111.0,1548.0,11706.0,462.0,29702.0,,668.0,9665.0,2997.0,1263.0,13506.0,897.0,32088.0,743.0,8233.0,11981.0,1271.0,608.0,35641.0,4751.0,3722.0,2600.0,145.0
North Dakota,193.0,151.0,681.0,144.0,1797.0,500.0,34.0,0.0,0.0,230.0,196.0,16.0,513.0,631.0,132.0,149.0,181.0,86.0,249.0,0.0,0.0,62.0,369.0,11684.0,422.0,563.0,1307.0,922.0,183.0,385.0,576.0,144.0,133.0,162.0,,174.0,339.0,347.0,28.0,0.0,0.0,2377.0,177.0,1378.0,38.0,0.0,251.0,709.0,144.0,556.0,342.0
Ohio,3101.0,169.0,2620.0,873.0,11777.0,3265.0,1340.0,452.0,784.0,15087.0,3987.0,771.0,31.0,12463.0,11578.0,389.0,1622.0,10952.0,2017.0,509.0,2611.0,2462.0,13107.0,2793.0,605.0,2206.0,617.0,410.0,2132.0,1068.0,4520.0,551.0,9518.0,8822.0,292.0,,2210.0,1483.0,14425.0,667.0,2487.0,217.0,7805.0,8712.0,1622.0,435.0,5844.0,3423.0,8726.0,1660.0,179.0
Oklahoma,176.0,328.0,1912.0,7396.0,11302.0,3698.0,391.0,185.0,254.0,3155.0,2542.0,385.0,595.0,3007.0,1087.0,1283.0,6048.0,1331.0,1484.0,82.0,569.0,205.0,1577.0,528.0,865.0,5253.0,481.0,145.0,627.0,393.0,424.0,1011.0,2051.0,1909.0,212.0,1282.0,,635.0,1405.0,0.0,1108.0,194.0,1309.0,28060.0,783.0,61.0,1312.0,1658.0,174.0,829.0,299.0
Oregon,167.0,549.0,4932.0,921.0,43804.0,3625.0,1127.0,159.0,606.0,3172.0,906.0,3302.0,4576.0,2245.0,1052.0,215.0,1748.0,997.0,769.0,419.0,1678.0,817.0,993.0,724.0,235.0,1194.0,2827.0,644.0,1631.0,0.0,978.0,2463.0,2899.0,2142.0,402.0,1421.0,2185.0,,1958.0,156.0,531.0,608.0,1168.0,5377.0,3246.0,158.0,2141.0,24207.0,140.0,557.0,563.0
Pennsylvania,1978.0,820.0,2076.0,979.0,12381.0,3434.0,6629.0,5168.0,1908.0,12938.0,5206.0,588.0,629.0,5341.0,1559.0,936.0,1154.0,1487.0,513.0,770.0,19747.0,8352.0,2283.0,1557.0,399.0,1363.0,171.0,1063.0,803.0,1259.0,40118.0,675.0,40208.0,9251.0,106.0,10700.0,1130.0,2511.0,,1204.0,1582.0,162.0,2746.0,12497.0,2014.0,604.0,12785.0,3772.0,3979.0,2337.0,188.0
Rhode Island,53.0,0.0,360.0,91.0,1484.0,421.0,4252.0,23.0,177.0,2778.0,390.0,17.0,0.0,621.0,0.0,307.0,0.0,41.0,0.0,209.0,623.0,9077.0,696.0,141.0,135.0,87.0,84.0,196.0,97.0,923.0,631.0,0.0,2631.0,812.0,113.0,318.0,58.0,90.0,900.0,,348.0,121.0,581.0,1079.0,60.0,337.0,714.0,399.0,0.0,325.0,0.0
South Carolina,2823.0,411.0,1708.0,581.0,4846.0,1947.0,2941.0,146.0,1552.0,13371.0,16234.0,858.0,47.0,4512.0,2816.0,165.0,965.0,1312.0,1495.0,779.0,6900.0,3027.0,3206.0,621.0,760.0,1168.0,215.0,90.0,180.0,1143.0,3664.0,139.0,10230.0,30447.0,595.0,6634.0,1192.0,663.0,7865.0,708.0,,590.0,3709.0,7373.0,424.0,0.0,8081.0,1943.0,2403.0,1243.0,508.0
South Dakota,0.0,346.0,732.0,18.0,2929.0,820.0,0.0,0.0,0.0,758.0,128.0,0.0,108.0,757.0,844.0,2887.0,1123.0,52.0,127.0,0.0,26.0,271.0,145.0,4991.0,125.0,500.0,468.0,1803.0,98.0,0.0,0.0,389.0,89.0,100.0,1858.0,788.0,23.0,236.0,147.0,448.0,0.0,,147.0,1946.0,662.0,0.0,720.0,976.0,131.0,1026.0,2047.0
Tennessee,7683.0,1141.0,1449.0,5583.0,7996.0,1692.0,2042.0,185.0,295.0,14926.0,16367.0,1397.0,219.0,9737.0,6736.0,646.0,1597.0,12562.0,2004.0,2799.0,794.0,2130.0,3954.0,2484.0,8739.0,3287.0,662.0,216.0,274.0,340.0,1659.0,159.0,4905.0,5933.0,61.0,7210.0,1486.0,647.0,2723.0,0.0,2173.0,207.0,,11827.0,181.0,309.0,6681.0,2187.0,1249.0,1309.0,25.0
Texas,6915.0,2257.0,20322.0,11986.0,69945.0,21596.0,1834.0,2012.0,1624.0,31145.0,16174.0,3630.0,2668.0,21848.0,10084.0,6600.0,10670.0,7090.0,27998.0,1544.0,7112.0,5636.0,10036.0,6795.0,8825.0,13946.0,1974.0,6201.0,6499.0,1542.0,8723.0,13041.0,18209.0,12463.0,2026.0,9363.0,30532.0,3704.0,11769.0,1361.0,7969.0,860.0,15565.0,,9082.0,252.0,19660.0,14335.0,915.0,4927.0,732.0
Utah,125.0,2350.0,9140.0,1136.0,23034.0,3615.0,1024.0,184.0,490.0,2707.0,1541.0,1516.0,9520.0,1440.0,1349.0,373.0,510.0,1142.0,878.0,63.0,812.0,390.0,1340.0,811.0,186.0,2103.0,1637.0,523.0,5181.0,0.0,702.0,871.0,2511.0,1921.0,1266.0,833.0,1194.0,2790.0,1992.0,0.0,766.0,795.0,964.0,7467.0,,221.0,1392.0,5074.0,51.0,398.0,755.0
Vermont,0.0,0.0,337.0,0.0,1018.0,350.0,1076.0,29.0,62.0,876.0,14.0,41.0,0.0,187.0,3.0,82.0,0.0,66.0,0.0,988.0,540.0,3731.0,59.0,7.0,0.0,45.0,0.0,0.0,0.0,3285.0,1393.0,60.0,3186.0,331.0,41.0,118.0,0.0,395.0,1449.0,262.0,38.0,619.0,6.0,7.0,77.0,,242.0,165.0,23.0,54.0,0.0
Virginia,2424.0,1624.0,3584.0,519.0,17473.0,3269.0,5158.0,1382.0,8692.0,19439.0,6319.0,3548.0,148.0,7719.0,2276.0,229.0,771.0,4959.0,2296.0,1232.0,28394.0,5442.0,4722.0,1194.0,891.0,2786.0,106.0,1950.0,2305.0,641.0,7715.0,2067.0,14827.0,22598.0,80.0,7689.0,3693.0,904.0,14122.0,1270.0,8354.0,142.0,7491.0,15873.0,1507.0,872.0,,4925.0,6618.0,1877.0,48.0
Washington,1465.0,5374.0,12801.0,823.0,51485.0,13012.0,1309.0,277.0,748.0,9093.0,2804.0,4497.0,11619.0,7422.0,1296.0,784.0,2568.0,2042.0,1109.0,266.0,2733.0,4715.0,4472.0,4153.0,689.0,3327.0,4707.0,1428.0,3551.0,785.0,3287.0,2232.0,7083.0,7250.0,2021.0,2834.0,2041.0,32384.0,1556.0,373.0,1374.0,1156.0,3672.0,16005.0,5404.0,743.0,3834.0,,319.0,1940.0,866.0
